"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jordan James","SF","22.1","102.3","0.7","2.0","21.4","0.0","0.0","16.9"
"Jacory Croskey-Merritt","WAS","21.6","99.9","0.7","1.5","12.5","0.0","0.0","15.1"
"Dare Ogunbowale","HOU","11.5","47.5","0.3","7.5","59.9","0.3","0.0","14.7"
"Carson Steele","KC","36.4","116.0","0.6","5.6","25.2","0.0","1.5","14.7"
"Chris Rodriguez Jr.","WAS","17.5","85.5","1.0","0.0","1.0","0.0","0.0","14.7"
"Ollie Gordon II","MIA","19.8","85.3","0.6","2.6","20.7","0.0","0.0","14.6"
"Rasheen Ali","BAL","19.4","81.2","0.7","1.6","11.8","0.1","0.1","13.6"
"Michael Burton","DEN","6.7","14.5","0.6","7.1","45.6","0.6","0.0","13.0"
"Travis Homer","CHI","12.2","53.8","0.4","5.9","40.4","0.2","0.1","12.6"
"C.J. Ham","MIN","3.0","13.6","1.0","5.3","34.9","0.1","0.0","11.4"
"Kenny McIntosh","SEA","15.7","69.6","0.4","1.9","14.1","0.1","0.1","10.8"
"Zamir White","LV","11.4","47.0","0.2","4.2","28.6","0.1","0.1","9.4"
"Tyler Badie","DEN","12.2","52.7","0.4","2.0","13.7","0.1","0.1","9.2"
"Kimani Vidal","LAC","7.9","33.1","0.3","4.0","28.7","0.2","0.1","8.7"
"DeeJay Dallas","ARI","8.3","37.0","0.2","4.0","25.6","0.1","0.1","8.2"
"Tahj Brooks","CIN","10.0","40.3","0.3","2.2","15.5","0.1","0.1","8.0"
"Hunter Luepke","DAL","6.2","26.0","0.2","4.5","31.4","0.1","0.1","7.7"
"Sione Vaki","DET","9.3","39.2","0.3","1.9","14.0","0.1","0.1","7.7"
"Pierre Strong Jr.","CLE","7.4","32.6","0.2","4.0","28.5","0.1","0.1","7.4"
"Terrell Jennings","NE","8.5","36.6","0.2","1.8","13.2","0.1","0.0","6.9"
"D.J. Williams","TB","8.3","34.7","0.2","1.9","14.1","0.1","0.0","6.7"
"Deuce Vaughn","DAL","7.8","32.3","0.2","2.1","14.5","0.1","0.0","6.4"
"Brashard Smith","KC","7.2","29.9","0.2","2.1","14.9","0.1","0.0","6.4"
"Damien Martinez","SEA","7.9","33.0","0.2","1.9","14.4","0.1","0.0","6.3"
"Raheem Blackshear","CAR","7.6","32.6","0.2","2.0","14.5","0.1","0.1","6.3"
"Julius Chestnut","TEN","7.8","33.4","0.2","2.0","13.6","0.1","0.0","6.2"
"Carlos Washington Jr.","ATL","8.8","36.6","0.3","0.0","0.0","0.0","0.0","5.3"
"Avery Williams","PHI","4.8","20.5","0.2","1.7","11.6","0.1","0.0","4.7"
"Eric Gray","NYG","3.9","16.5","0.1","2.0","13.6","0.1","0.0","4.1"
"Keilan Robinson","PHI","3.8","15.7","0.1","2.1","14.3","0.1","0.0","4.0"
"Patrick Ricard","BAL","0.0","0.0","0.0","3.4","25.0","0.2","0.0","3.7"
"Scott Matlock","LAC","0.0","0.0","0.0","4.3","29.1","0.1","0.0","3.6"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","15.3","0.1","0.0","2.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Velus Jones Jr.","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trayveon Williams","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darrynton Evans","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.J. Taylor","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Carter","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Sermon","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zonovan Knight","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ronnie Rivers","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Troy Hairston II","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zach Evans","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Israel Abanikanda","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lew Nichols III","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Elijah Dotson","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Louis Rees-Zammit","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Wiley","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Frank Gore Jr.","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"George Holani","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LeQuint Allen Jr.","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Phil Mafah","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
